row,company,position,stage
1,Devbug,Software Engineer,Applied
2,Ozu,Front-end Engineer,Applied
3,Flashpoint,Software Engineer,Applied
4,Yozio,Front-end Engineer,Follow-up
5,Bubblemix,Front-end Engineer,Rejected
6,Wordify,Front-end Engineer,Contacted
7,Chatterpoint,Full-stack Engineer,Rejected
8,Tambee,Full-stack Engineer,Contacted
9,Feednation,Full-stack Engineer,Follow-up
10,Kaymbo,Full-stack Engineer,Rejected
11,Eidel,Software Engineer,Applied
12,Skyndu,Full-stack Engineer,Rejected
13,Leenti,Software Engineer,Phone Interview
14,Edgeify,Software Engineer,Follow-up
15,Skivee,Software Engineer,Phone Interview
16,Avamba,Full-stack Engineer,On-site Interview
17,Quire,Full-stack Engineer,On-site Interview
18,Blogpad,Software Engineer,Rejected
19,Mynte,Software Engineer,Applied
20,Livepath,Full-stack Engineer,Follow-up
21,Jatri,Front-end Engineer,On-site Interview
22,Avaveo,Full-stack Engineer,Contacted
23,Kayveo,Front-end Engineer,Contacted
24,Eayo,Front-end Engineer,Applied
25,Zoozzy,Front-end Engineer,Rejected
26,Oodoo,Software Engineer,Rejected
27,Omba,Front-end Engineer,Follow-up
28,Aibox,Full-stack Engineer,Applied
29,Dynabox,Front-end Engineer,Rejected
30,Jaxnation,Software Engineer,Phone Interview
31,Plambee,Front-end Engineer,On-site Interview
32,Yakijo,Full-stack Engineer,Contacted
33,Divape,Full-stack Engineer,Rejected
34,Brainbox,Full-stack Engineer,On-site Interview
35,Skiba,Software Engineer,Rejected
36,Avamba,Full-stack Engineer,On-site Interview
37,Tagfeed,Front-end Engineer,Rejected
38,Topicshots,Front-end Engineer,Follow-up
39,Skimia,Software Engineer,Follow-up
40,Blogpad,Full-stack Engineer,On-site Interview
41,Abatz,Full-stack Engineer,Phone Interview
42,Blogtags,Software Engineer,Follow-up
43,Zooveo,Full-stack Engineer,Follow-up
44,Buzzdog,Full-stack Engineer,Phone Interview
45,Thoughtbeat,Front-end Engineer,On-site Interview
46,Agivu,Full-stack Engineer,On-site Interview
47,Eayo,Software Engineer,Applied
48,Trudoo,Front-end Engineer,Rejected
49,Rhybox,Full-stack Engineer,Follow-up
50,Dabtype,Front-end Engineer,Follow-up
51,Shufflester,Front-end Engineer,Contacted
52,Zoomdog,Software Engineer,Applied
53,Quaxo,Software Engineer,Follow-up
54,Kwimbee,Full-stack Engineer,Follow-up
55,Quimba,Front-end Engineer,On-site Interview
56,Meeveo,Full-stack Engineer,Phone Interview
57,Jaxworks,Full-stack Engineer,Phone Interview
58,Brainsphere,Front-end Engineer,Rejected
59,Topicshots,Front-end Engineer,Rejected
60,Omba,Front-end Engineer,Contacted
61,Lazz,Full-stack Engineer,On-site Interview
62,Shuffletag,Full-stack Engineer,Rejected
63,Fivechat,Software Engineer,Phone Interview
64,Quinu,Software Engineer,Follow-up
65,Npath,Full-stack Engineer,Follow-up
66,Skimia,Full-stack Engineer,Contacted
67,LiveZ,Software Engineer,Applied
68,Realmix,Full-stack Engineer,On-site Interview
69,Mudo,Front-end Engineer,Rejected
70,Snaptags,Full-stack Engineer,Follow-up
71,Linkbridge,Front-end Engineer,Rejected
72,Mydo,Full-stack Engineer,Applied
73,Jaxspan,Front-end Engineer,On-site Interview
74,Agimba,Full-stack Engineer,Rejected
75,Meevee,Front-end Engineer,Follow-up
76,Talane,Full-stack Engineer,On-site Interview
77,Quatz,Full-stack Engineer,Rejected
78,Zazio,Software Engineer,Applied
79,Omba,Software Engineer,Follow-up
80,Ooba,Front-end Engineer,Rejected
81,Eare,Front-end Engineer,Rejected
82,Thoughtmix,Full-stack Engineer,Applied
83,Lazz,Front-end Engineer,Applied
84,Topicstorm,Front-end Engineer,Rejected
85,Zoomdog,Full-stack Engineer,Follow-up
86,Rhyloo,Full-stack Engineer,Rejected
87,Tekfly,Front-end Engineer,Phone Interview
88,Browsetype,Full-stack Engineer,Phone Interview
89,Skiba,Full-stack Engineer,Offer Accepted
90,Feedbug,Software Engineer,Rejected
91,Vimbo,Full-stack Engineer,On-site Interview
92,Thoughtsphere,Front-end Engineer,Contacted
93,Shuffledrive,Front-end Engineer,Contacted
94,Reallinks,Full-stack Engineer,On-site Interview
95,Edgewire,Full-stack Engineer,Contacted
96,Mynte,Software Engineer,Rejected
97,Flipopia,Software Engineer,Phone Interview
98,Avamm,Software Engineer,Follow-up
99,Feedbug,Front-end Engineer,Applied
100,Thoughtbeat,Front-end Engineer,On-site Interview
